City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
167,Fort Morgan,US,40.25,-103.8,64.4,26,1,4.7,clear sky
168,Nome,US,64.5,-165.41,21.99,92,90,3.36,overcast clouds
169,Mandurah,AU,-32.55,115.7,66.99,83,0,2.37,clear sky
170,Atuona,PF,-9.8,-139.03,77.63,73,100,12.28,overcast clouds
171,Hearst,CA,49.68,-83.67,32.0,81,0,9.17,clear sky
172,Andenes,NO,69.31,16.12,33.8,69,0,13.87,clear sky
173,Sola,VU,-13.88,167.55,81.37,78,96,11.79,light rain
174,Zyryanskoye,RU,56.83,86.63,28.44,99,100,0.92,overcast clouds
175,Ancud,CL,-41.87,-73.82,63.0,59,0,8.05,clear sky
176,Bengkulu,ID,-3.8,102.27,75.13,88,72,3.71,moderate rain
177,Tarakan,ID,3.3,117.63,79.5,84,84,2.53,moderate rain
178,Shu,KZ,43.6,73.76,37.0,65,0,5.01,clear sky
179,Belyy Yar,RU,53.6,91.39,35.6,69,40,4.47,scattered clouds
180,Mackenzie,CA,55.3,-123.17,32.0,90,90,8.05,overcast clouds
181,Bay City,US,43.59,-83.89,35.6,51,90,8.05,overcast clouds
182,Lorengau,PG,-2.02,147.27,80.64,76,98,4.05,overcast clouds
183,Feijo,BR,-8.16,-70.35,85.26,70,98,5.68,light rain
184,Sao Filipe,CV,14.9,-24.5,82.17,58,66,15.52,broken clouds
185,Provideniya,RU,64.38,-173.3,23.79,93,98,7.0,overcast clouds
186,Ciro Marina,IT,39.37,17.13,57.2,82,0,4.7,clear sky
187,Joshimath,IN,30.57,79.57,47.68,41,0,2.82,clear sky
188,Skibbereen,IE,51.55,-9.27,50.0,93,75,16.11,light intensity drizzle
189,Auki,SB,-8.77,160.7,77.79,83,100,3.2,overcast clouds
190,Thompson,CA,55.74,-97.86,21.2,62,75,4.7,broken clouds
191,Ixtapa,MX,20.7,-105.2,84.99,66,20,8.05,few clouds
192,Gemena,CD,3.25,19.77,70.92,95,81,2.08,broken clouds
193,Carahue,CL,-38.7,-73.17,75.2,53,0,11.41,clear sky
